ID;name;region;material;pricePerUnit;currency_code;leadTime;rating;category;contactEmail;contactPhone;address;isActive
9022;Briggs, Stokes and Pierce;LATAM;Glass Panels;3431.87;USD;29;2.85;construction;contact@briggsstokesandpierce.com;+1-555-000-0000;LATAM Office;true
9023;Hughes and Sons;NA;Concrete Mixers;5730.21;USD;38;4.55;construction;contact@hughesandsons.com;+1-555-000-0000;NA Office;true
9024;Ortiz, Perry and Lopez;NA;Glass Panels;14257.01;USD;30;4.55;construction;contact@ortizperryandlopez.com;+1-555-000-0000;NA Office;true
9025;Burgess-Benjamin;EU;Concrete Mixers;7298.02;USD;38;3.45;construction;contact@burgessbenjamin.com;+1-555-000-0000;EU Office;true
9026;Adkins-Cohen;EU;Steel Rebars;5171.65;USD;22;3.65;construction;contact@adkinscohen.com;+1-555-000-0000;EU Office;true
9027;White-Kelly;EU;Concrete Mixers;110.95;USD;9;3.25;construction;contact@whitekelly.com;+1-555-000-0000;EU Office;true
9028;Lyons LLC;EU;Cement Bags;5487.17;USD;33;3.85;construction;contact@lyonsllc.com;+1-555-000-0000;EU Office;true
9029;Sullivan-Gibson;LATAM;Concrete Mixers;1164.43;USD;31;4.05;construction;contact@sullivangibson.com;+1-555-000-0000;LATAM Office;true
9030;Clark, Richards and Brown;MEA;Cement Bags;3396.9;USD;35;2.65;construction;contact@clarkrichardsandbrown.com;+1-555-000-0000;MEA Office;true
9031;Stout Group;MEA;Glass Panels;5427.43;USD;33;3.05;construction;contact@stoutgroup.com;+1-555-000-0000;MEA Office;true
9032;Bray-Huff;MEA;Cement Bags;4458.38;USD;35;2.85;construction;contact@brayhuff.com;+1-555-000-0000;MEA Office;true
9033;Gardner LLC;MEA;Cement Bags;591.29;USD;7;2.65;construction;contact@gardnerllc.com;+1-555-000-0000;MEA Office;true
9034;Kennedy, Ward and Robbins;MEA;Scaffolding;7161.15;USD;21;3.45;construction;contact@kennedywardandrobbins.com;+1-555-000-0000;MEA Office;true
9035;Sullivan-Lynn;LATAM;Scaffolding;568.4;USD;39;4.25;construction;contact@sullivanlynn.com;+1-555-000-0000;LATAM Office;true
9036;Davis-James;APAC;Steel Rebars;5809.1;USD;16;5.05;construction;contact@davisjames.com;+1-555-000-0000;APAC Office;true
9037;Faulkner-Li;LATAM;Scaffolding;14072.04;USD;16;5.05;construction;contact@faulknerli.com;+1-555-000-0000;LATAM Office;true
9038;Crawford, Morales and Williams;MEA;Scaffolding;6374.58;USD;40;3.95;construction;contact@crawfordmoralesandwilliams.com;+1-555-000-0000;MEA Office;true
9039;Anderson and Sons;LATAM;Concrete Mixers;9359.35;USD;28;3.35;construction;contact@andersonandsons.com;+1-555-000-0000;LATAM Office;true
9040;Nelson-Ashley;NA;Scaffolding;1139.86;USD;7;4.05;construction;contact@nelsonashley.com;+1-555-000-0000;NA Office;true
9041;Martinez, Chavez and Campbell;LATAM;Steel Rebars;14506.79;USD;10;2.95;construction;contact@martinezchavezandcampbell.com;+1-555-000-0000;LATAM Office;true
9042;Peck Inc;MEA;Scaffolding;13766.5;USD;32;3.85;construction;contact@peckinc.com;+1-555-000-0000;MEA Office;true
9043;Ray Ltd;APAC;Steel Rebars;1120.59;USD;23;3.15;construction;contact@rayltd.com;+1-555-000-0000;APAC Office;true
9044;Nelson PLC;EU;Glass Panels;14557.54;USD;21;4.45;construction;contact@nelsonplc.com;+1-555-000-0000;EU Office;true
9045;Schmidt, George and Johnson;APAC;Glass Panels;1508.46;USD;39;3.35;construction;contact@schmidtgeorgeandjohnson.com;+1-555-000-0000;APAC Office;true
9046;Johnson-White;APAC;Cement Bags;8716.62;USD;19;4.35;construction;contact@johnsonwhite.com;+1-555-000-0000;APAC Office;true
9047;Fowler-Hines;MEA;Cement Bags;13212.23;USD;15;4.75;construction;contact@fowlerhines.com;+1-555-000-0000;MEA Office;true
9048;Delgado-Ward;NA;Concrete Mixers;5675.26;USD;5;2.75;construction;contact@delgadoward.com;+1-555-000-0000;NA Office;true
9049;Jenkins PLC;EU;Cement Bags;8329.86;USD;20;4.75;construction;contact@jenkinsplc.com;+1-555-000-0000;EU Office;true
9050;Jenkins-Weiss;LATAM;Scaffolding;9116.59;USD;34;4.55;construction;contact@jenkinsweiss.com;+1-555-000-0000;LATAM Office;true
9051;Taylor, Hooper and Mckee;MEA;Glass Panels;5151.54;USD;40;4.25;construction;contact@taylorhooperandmckee.com;+1-555-000-0000;MEA Office;true
9052;Carter, Moore and Velazquez;APAC;Concrete Mixers;5729.52;USD;39;4.35;construction;contact@cartermooreandvelazquez.com;+1-555-000-0000;APAC Office;true
9053;Ellison, Caldwell and Cunningham;EU;Concrete Mixers;1128.98;USD;23;4.95;construction;contact@ellisoncaldwellandcunningham.com;+1-555-000-0000;EU Office;true
9054;Robles-White;LATAM;Cement Bags;7011.87;USD;27;4.35;construction;contact@robleswhite.com;+1-555-000-0000;LATAM Office;true
9055;Steele, Washington and Rodriguez;NA;Glass Panels;5396.87;USD;37;3.45;construction;contact@steelewashingtonandrodriguez.com;+1-555-000-0000;NA Office;true
9056;Case, Thompson and Mcguire;APAC;Concrete Mixers;3606.87;USD;31;3.55;construction;contact@casethompsonandmcguire.com;+1-555-000-0000;APAC Office;true
9057;Miranda and Sons;MEA;Steel Rebars;9533.4;USD;7;4.05;construction;contact@mirandaandsons.com;+1-555-000-0000;MEA Office;true
9058;Kerr and Sons;NA;Cement Bags;9724.57;USD;36;3.35;construction;contact@kerrandsons.com;+1-555-000-0000;NA Office;true
9059;Diaz-Frank;MEA;Glass Panels;6667.15;USD;7;4.75;construction;contact@diazfrank.com;+1-555-000-0000;MEA Office;true
9060;Young-Smith;LATAM;Glass Panels;4799.14;USD;34;2.95;construction;contact@youngsmith.com;+1-555-000-0000;LATAM Office;true
9061;Camacho, Young and Watkins;NA;Scaffolding;7748.86;USD;25;5.05;construction;contact@camachoyoungandwatkins.com;+1-555-000-0000;NA Office;true
9062;Carey, Walker and Miller;EU;Scaffolding;10270.86;USD;15;2.85;construction;contact@careywalkerandmiller.com;+1-555-000-0000;EU Office;true
9063;White, Bates and Gray;MEA;Cement Bags;13753.79;USD;39;3.75;construction;contact@whitebatesandgray.com;+1-555-000-0000;MEA Office;true
9064;Lawson, Pratt and Brown;MEA;Steel Rebars;5737.8;USD;16;3.05;construction;contact@lawsonprattandbrown.com;+1-555-000-0000;MEA Office;true
9065;Gross-White;APAC;Glass Panels;6208.14;USD;10;3.55;construction;contact@grosswhite.com;+1-555-000-0000;APAC Office;true
9066;Thomas, Hardin and Rodriguez;EU;Cement Bags;724.24;USD;16;4.05;construction;contact@thomashardinandrodriguez.com;+1-555-000-0000;EU Office;true
9067;Huang, Hughes and Sanchez;MEA;Steel Rebars;11397.99;USD;17;3.85;construction;contact@huanghughesandsanchez.com;+1-555-000-0000;MEA Office;true
9068;Shelton Group;EU;Steel Rebars;10167.07;USD;13;3.45;construction;contact@sheltongroup.com;+1-555-000-0000;EU Office;true
9069;Brewer, Smith and Simmons;APAC;Cement Bags;3440.55;USD;27;3.75;construction;contact@brewersmithandsimmons.com;+1-555-000-0000;APAC Office;true
9070;Campos, Sherman and Morgan;APAC;Steel Rebars;14722.57;USD;15;4.75;construction;contact@camposshermanandmorgan.com;+1-555-000-0000;APAC Office;true
9071;Butler-Moore;APAC;Cement Bags;2281.15;USD;28;4.55;construction;contact@butlermoore.com;+1-555-000-0000;APAC Office;true
9072;Jones-Ortiz;EU;Steel Rebars;1687.76;USD;40;3.25;construction;contact@jonesortiz.com;+1-555-000-0000;EU Office;true
9073;Rodriguez, Suarez and Heath;APAC;Glass Panels;10080.89;USD;14;3.35;construction;contact@rodriguezsuarezandheath.com;+1-555-000-0000;APAC Office;true
9074;Allen Group;NA;Steel Rebars;7870.06;USD;7;3.35;construction;contact@allengroup.com;+1-555-000-0000;NA Office;true
9075;Lawson, Ray and Benson;MEA;Concrete Mixers;6203.91;USD;14;4.45;construction;contact@lawsonrayandbenson.com;+1-555-000-0000;MEA Office;true
9076;Frazier PLC;MEA;Concrete Mixers;14532.28;USD;34;2.95;construction;contact@frazierplc.com;+1-555-000-0000;MEA Office;true
9077;Jones, Turner and Ballard;EU;Cement Bags;8520.75;USD;5;4.25;construction;contact@jonesturnerandballard.com;+1-555-000-0000;EU Office;true
9078;Garcia Group;MEA;Glass Panels;5499.62;USD;21;2.65;construction;contact@garciagroup.com;+1-555-000-0000;MEA Office;true
9079;Johnson-Smith;NA;Scaffolding;1509.44;USD;32;2.85;construction;contact@johnsonsmith.com;+1-555-000-0000;NA Office;true
9080;Williams-Patrick;EU;Steel Rebars;3681.9;USD;9;2.95;construction;contact@williamspatrick.com;+1-555-000-0000;EU Office;true
9081;Mckee, Herrera and Arnold;NA;Scaffolding;12884.35;USD;32;2.55;construction;contact@mckeeherreraandarnold.com;+1-555-000-0000;NA Office;true
9082;Ramirez, Carter and Garcia;MEA;Cement Bags;298.99;USD;9;4.95;construction;contact@ramirezcarterandgarcia.com;+1-555-000-0000;MEA Office;true
9083;Jensen Inc;APAC;Cement Bags;13867.14;USD;18;3.65;construction;contact@jenseninc.com;+1-555-000-0000;APAC Office;true
9084;Mccarty PLC;LATAM;Cement Bags;14069.93;USD;20;3.25;construction;contact@mccartyplc.com;+1-555-000-0000;LATAM Office;true
9085;Alexander-Simmons;APAC;Cement Bags;14323.08;USD;35;4.65;construction;contact@alexandersimmons.com;+1-555-000-0000;APAC Office;true
9086;Hunt Group;APAC;Scaffolding;12235.92;USD;40;2.75;construction;contact@huntgroup.com;+1-555-000-0000;APAC Office;true
9087;Mcdonald, Underwood and Taylor;EU;Concrete Mixers;4927.66;USD;25;3.65;construction;contact@mcdonaldunderwoodandtaylor.com;+1-555-000-0000;EU Office;true
9088;Friedman LLC;APAC;Scaffolding;13699.14;USD;19;4.05;construction;contact@friedmanllc.com;+1-555-000-0000;APAC Office;true
9089;Allison, Alvarado and Garcia;APAC;Scaffolding;7234.16;USD;6;2.55;construction;contact@allisonalvaradoandgarcia.com;+1-555-000-0000;APAC Office;true
9090;Clark-Michael;LATAM;Glass Panels;75.13;USD;26;2.85;construction;contact@clarkmichael.com;+1-555-000-0000;LATAM Office;true
9091;Porter Ltd;MEA;Glass Panels;892.92;USD;5;3.05;construction;contact@porterltd.com;+1-555-000-0000;MEA Office;true
9092;Morris-Johns;NA;Scaffolding;11992.48;USD;39;2.55;construction;contact@morrisjohns.com;+1-555-000-0000;NA Office;true
9093;Diaz Inc;MEA;Concrete Mixers;8548.61;USD;28;2.85;construction;contact@diazinc.com;+1-555-000-0000;MEA Office;true
9094;Mccormick-Berry;MEA;Cement Bags;12130.94;USD;23;3.05;construction;contact@mccormickberry.com;+1-555-000-0000;MEA Office;true
9095;Ryan, Porter and Escobar;APAC;Glass Panels;6081.79;USD;30;4.15;construction;contact@ryanporterandescobar.com;+1-555-000-0000;APAC Office;true
9096;Smith-Diaz;MEA;Concrete Mixers;4225.63;USD;6;4.05;construction;contact@smithdiaz.com;+1-555-000-0000;MEA Office;true
9097;Jones, Bass and Reyes;EU;Steel Rebars;12332.87;USD;19;4.15;construction;contact@jonesbassandreyes.com;+1-555-000-0000;EU Office;true
9098;Sweeney, Dixon and Short;EU;Concrete Mixers;1179.07;USD;32;2.65;construction;contact@sweeneydixonandshort.com;+1-555-000-0000;EU Office;true
9099;Hill, Hess and Phillips;APAC;Glass Panels;11204.74;USD;33;4.65;construction;contact@hillhessandphillips.com;+1-555-000-0000;APAC Office;true
9100;Rodriguez and Sons;NA;Scaffolding;11998.53;USD;26;4.05;construction;contact@rodriguezandsons.com;+1-555-000-0000;NA Office;true
9101;Sanchez, Patrick and Hamilton;NA;Glass Panels;4427.01;USD;31;4.65;construction;contact@sanchezpatrickandhamilton.com;+1-555-000-0000;NA Office;true
9102;Robles Group;APAC;Scaffolding;10512.82;USD;31;5.05;construction;contact@roblesgroup.com;+1-555-000-0000;APAC Office;true
9103;Meyer-Nguyen;NA;Cement Bags;10384.83;USD;38;4.25;construction;contact@meyernguyen.com;+1-555-000-0000;NA Office;true
9104;Stark-Smith;NA;Glass Panels;4468.08;USD;38;4.15;construction;contact@starksmith.com;+1-555-000-0000;NA Office;true
9105;Abbott-Dawson;EU;Cement Bags;8266.37;USD;18;3.15;construction;contact@abbottdawson.com;+1-555-000-0000;EU Office;true
9106;Baker-Francis;MEA;Scaffolding;8455.66;USD;25;3.55;construction;contact@bakerfrancis.com;+1-555-000-0000;MEA Office;true
9107;Gonzales Inc;LATAM;Glass Panels;12278.8;USD;21;3.35;construction;contact@gonzalesinc.com;+1-555-000-0000;LATAM Office;true
9108;Rivera-Walker;APAC;Concrete Mixers;3531.14;USD;10;2.65;construction;contact@riverawalker.com;+1-555-000-0000;APAC Office;true
9109;Evans, King and Garcia;APAC;Scaffolding;5806.31;USD;24;4.35;construction;contact@evanskingandgarcia.com;+1-555-000-0000;APAC Office;true
9110;Brown Inc;MEA;Cement Bags;7551.2;USD;31;3.25;construction;contact@browninc.com;+1-555-000-0000;MEA Office;true
9111;Nelson-Wood;APAC;Glass Panels;6121.48;USD;38;2.65;construction;contact@nelsonwood.com;+1-555-000-0000;APAC Office;true
9112;Franco Ltd;MEA;Glass Panels;740.41;USD;25;3.85;construction;contact@francoltd.com;+1-555-000-0000;MEA Office;true
9113;Johnson-Gutierrez;LATAM;Concrete Mixers;4879.93;USD;30;3.45;construction;contact@johnsongutierrez.com;+1-555-000-0000;LATAM Office;true
9114;Olsen-Carter;LATAM;Glass Panels;598.62;USD;13;4.55;construction;contact@olsencarter.com;+1-555-000-0000;LATAM Office;true
9115;Mason, Vincent and Miller;MEA;Concrete Mixers;239.81;USD;18;3.85;construction;contact@masonvincentandmiller.com;+1-555-000-0000;MEA Office;true
9116;Miller, Howard and Young;LATAM;Cement Bags;6208.26;USD;39;3.75;construction;contact@millerhowardandyoung.com;+1-555-000-0000;LATAM Office;true
9117;Ramirez-Castillo;LATAM;Concrete Mixers;10308.03;USD;34;3.65;construction;contact@ramirezcastillo.com;+1-555-000-0000;LATAM Office;true
9118;Richards-Baldwin;LATAM;Steel Rebars;10167.68;USD;36;2.55;construction;contact@richardsbaldwin.com;+1-555-000-0000;LATAM Office;true
9119;Blake, Fuller and Williams;MEA;Glass Panels;6698.29;USD;34;3.05;construction;contact@blakefullerandwilliams.com;+1-555-000-0000;MEA Office;true
9120;Graves-Torres;APAC;Steel Rebars;4339.4;USD;29;4.95;construction;contact@gravestorres.com;+1-555-000-0000;APAC Office;true
9121;Newman Inc;APAC;Cement Bags;980.26;USD;13;4.95;construction;contact@newmaninc.com;+1-555-000-0000;APAC Office;true
9122;Garcia-Howard;LATAM;Glass Panels;4864.18;USD;5;3.75;construction;contact@garciahoward.com;+1-555-000-0000;LATAM Office;true
9123;Garcia, Jackson and Richards;MEA;Glass Panels;7221.03;USD;34;2.95;construction;contact@garciajacksonandrichards.com;+1-555-000-0000;MEA Office;true
9124;Larsen-Cruz;APAC;Concrete Mixers;13515.41;USD;6;3.85;construction;contact@larsencruz.com;+1-555-000-0000;APAC Office;true
9125;Bell, Nichols and Livingston;LATAM;Scaffolding;14408.57;USD;10;4.15;construction;contact@bellnicholsandlivingston.com;+1-555-000-0000;LATAM Office;true
9126;Arnold, Bennett and Cole;APAC;Scaffolding;4150.01;USD;24;4.85;construction;contact@arnoldbennettandcole.com;+1-555-000-0000;APAC Office;true
9127;Walker-Martin;MEA;Steel Rebars;6574.67;USD;21;3.85;construction;contact@walkermartin.com;+1-555-000-0000;MEA Office;true
9128;Phelps, Chang and Gonzales;NA;Cement Bags;3273.41;USD;24;2.75;construction;contact@phelpschangandgonzales.com;+1-555-000-0000;NA Office;true
9129;Simpson-Davis;EU;Glass Panels;13780.76;USD;13;4.65;construction;contact@simpsondavis.com;+1-555-000-0000;EU Office;true
9130;Wagner Ltd;LATAM;Scaffolding;13073.87;USD;40;5.05;construction;contact@wagnerltd.com;+1-555-000-0000;LATAM Office;true
9131;Carter, Becker and Martin;NA;Steel Rebars;4864.78;USD;22;3.75;construction;contact@carterbeckerandmartin.com;+1-555-000-0000;NA Office;true
9132;Giles, Fry and Warren;EU;Scaffolding;11174.23;USD;13;4.25;construction;contact@gilesfryandwarren.com;+1-555-000-0000;EU Office;true
9133;Ochoa-Bray;NA;Steel Rebars;12502.09;USD;23;3.95;construction;contact@ochoabray.com;+1-555-000-0000;NA Office;true
9134;Crawford, Lyons and Jones;NA;Cement Bags;14145.16;USD;32;2.55;construction;contact@crawfordlyonsandjones.com;+1-555-000-0000;NA Office;true
9135;Hicks Ltd;APAC;Steel Rebars;7091.26;USD;27;3.45;construction;contact@hicksltd.com;+1-555-000-0000;APAC Office;true
9136;Kennedy Ltd;APAC;Scaffolding;12152.69;USD;27;3.85;construction;contact@kennedyltd.com;+1-555-000-0000;APAC Office;true
9137;Steele-Diaz;LATAM;Steel Rebars;5805.67;USD;28;4.35;construction;contact@steelediaz.com;+1-555-000-0000;LATAM Office;true
9138;Gibbs, Lopez and Davis;EU;Concrete Mixers;362.52;USD;12;3.85;construction;contact@gibbslopezanddavis.com;+1-555-000-0000;EU Office;true
9139;Moss, Little and Morales;EU;Concrete Mixers;3691.66;USD;28;3.45;construction;contact@mosslittleandmorales.com;+1-555-000-0000;EU Office;true
9140;Mahoney-Martin;MEA;Concrete Mixers;6890.77;USD;25;2.95;construction;contact@mahoneymartin.com;+1-555-000-0000;MEA Office;true
9141;Grimes-Mann;EU;Concrete Mixers;6501.74;USD;8;3.85;construction;contact@grimesmann.com;+1-555-000-0000;EU Office;true
9142;Good PLC;APAC;Cement Bags;11445.88;USD;10;3.25;construction;contact@goodplc.com;+1-555-000-0000;APAC Office;true
9143;Lee, Vance and Mendoza;NA;Glass Panels;10470.53;USD;39;3.65;construction;contact@leevanceandmendoza.com;+1-555-000-0000;NA Office;true
9144;Gonzalez, Watson and Thompson;LATAM;Concrete Mixers;5806.44;USD;21;2.85;construction;contact@gonzalezwatsonandthompson.com;+1-555-000-0000;LATAM Office;true
9145;Williams-Tyler;LATAM;Concrete Mixers;6579.31;USD;21;3.15;construction;contact@williamstyler.com;+1-555-000-0000;LATAM Office;true
9146;Payne, Hartman and Thomas;NA;Steel Rebars;817.09;USD;31;2.95;construction;contact@paynehartmanandthomas.com;+1-555-000-0000;NA Office;true
9147;Mcdonald Ltd;APAC;Steel Rebars;3794.64;USD;39;4.85;construction;contact@mcdonaldltd.com;+1-555-000-0000;APAC Office;true
9148;Williams PLC;MEA;Steel Rebars;5658.25;USD;12;4.05;construction;contact@williamsplc.com;+1-555-000-0000;MEA Office;true
9149;Garrett-Brown;LATAM;Glass Panels;5174.74;USD;12;3.35;construction;contact@garrettbrown.com;+1-555-000-0000;LATAM Office;true
9150;Daniel-Smith;EU;Scaffolding;6805.06;USD;37;3.05;construction;contact@danielsmith.com;+1-555-000-0000;EU Office;true
9151;Carter-Barnes;APAC;Steel Rebars;14999.33;USD;29;4.95;construction;contact@carterbarnes.com;+1-555-000-0000;APAC Office;true
9152;Bauer, Rice and Thomas;MEA;Scaffolding;5590.37;USD;33;2.85;construction;contact@bauerriceandthomas.com;+1-555-000-0000;MEA Office;true
9153;Gonzalez-Thompson;EU;Cement Bags;12656.64;USD;24;3.45;construction;contact@gonzalezthompson.com;+1-555-000-0000;EU Office;true
9154;Wilson LLC;MEA;Glass Panels;11052.05;USD;14;4.15;construction;contact@wilsonllc.com;+1-555-000-0000;MEA Office;true
9155;Dunn Ltd;EU;Steel Rebars;4251.86;USD;29;4.95;construction;contact@dunnltd.com;+1-555-000-0000;EU Office;true
9156;Miller PLC;EU;Steel Rebars;12324.63;USD;20;2.85;construction;contact@millerplc.com;+1-555-000-0000;EU Office;true
9157;Benson, Wilson and Walker;APAC;Cement Bags;8749.98;USD;36;3.45;construction;contact@bensonwilsonandwalker.com;+1-555-000-0000;APAC Office;true
9158;Stephens, Brown and Perry;MEA;Cement Bags;6853.36;USD;15;3.75;construction;contact@stephensbrownandperry.com;+1-555-000-0000;MEA Office;true
9159;Owens, Knight and Anderson;NA;Steel Rebars;12351.74;USD;34;4.45;construction;contact@owensknightandanderson.com;+1-555-000-0000;NA Office;true
9160;Burton-Jones;APAC;Steel Rebars;2957.13;USD;7;4.75;construction;contact@burtonjones.com;+1-555-000-0000;APAC Office;true
9161;Ray-Barnett;APAC;Glass Panels;3494.69;USD;36;4.85;construction;contact@raybarnett.com;+1-555-000-0000;APAC Office;true
9162;Rogers, Jones and Flores;APAC;Steel Rebars;1380.01;USD;9;3.55;construction;contact@rogersjonesandflores.com;+1-555-000-0000;APAC Office;true
9163;Wallace PLC;MEA;Scaffolding;8841.44;USD;11;3.45;construction;contact@wallaceplc.com;+1-555-000-0000;MEA Office;true
9164;Schmidt, Gutierrez and Ayers;NA;Concrete Mixers;8206.22;USD;9;3.75;construction;contact@schmidtgutierrezandayers.com;+1-555-000-0000;NA Office;true
9165;Thompson PLC;NA;Cement Bags;12330.98;USD;20;4.05;construction;contact@thompsonplc.com;+1-555-000-0000;NA Office;true
9166;Bates-Sweeney;MEA;Glass Panels;2252.23;USD;23;3.75;construction;contact@batessweeney.com;+1-555-000-0000;MEA Office;true
9167;Reed Group;EU;Concrete Mixers;13560.32;USD;27;2.55;construction;contact@reedgroup.com;+1-555-000-0000;EU Office;true
9168;Herman Ltd;EU;Cement Bags;9894.25;USD;17;2.85;construction;contact@hermanltd.com;+1-555-000-0000;EU Office;true
9169;Nelson, Griffith and Best;EU;Scaffolding;7675.42;USD;12;4.95;construction;contact@nelsongriffithandbest.com;+1-555-000-0000;EU Office;true
9170;Martin, York and Kelley;EU;Concrete Mixers;8125.16;USD;29;3.45;construction;contact@martinyorkandkelley.com;+1-555-000-0000;EU Office;true
9171;Williams, Castillo and Hoffman;APAC;Glass Panels;3815.11;USD;21;4.65;construction;contact@williamscastilloandhoffman.com;+1-555-000-0000;APAC Office;true
9172;Watson-Edwards;NA;Glass Panels;1363.28;USD;17;5.05;construction;contact@watsonedwards.com;+1-555-000-0000;NA Office;true
9173;Wu PLC;MEA;Cement Bags;1216.4;USD;23;3.25;construction;contact@wuplc.com;+1-555-000-0000;MEA Office;true
9174;Mason-Miller;MEA;Scaffolding;8320.25;USD;37;4.75;construction;contact@masonmiller.com;+1-555-000-0000;MEA Office;true
9175;Lewis-Mcclain;MEA;Scaffolding;4070.93;USD;27;2.75;construction;contact@lewismcclain.com;+1-555-000-0000;MEA Office;true
9176;White PLC;NA;Steel Rebars;1513.57;USD;29;5.05;construction;contact@whiteplc.com;+1-555-000-0000;NA Office;true
9177;Ferrell-Jordan;EU;Concrete Mixers;1399.57;USD;9;2.95;construction;contact@ferrelljordan.com;+1-555-000-0000;EU Office;true
9178;Wang PLC;APAC;Scaffolding;3393.95;USD;11;4.15;construction;contact@wangplc.com;+1-555-000-0000;APAC Office;true
9179;Rodriguez and Sons;APAC;Cement Bags;4907.64;USD;30;4.55;construction;contact@rodriguezandsons.com;+1-555-000-0000;APAC Office;true
9180;Rose Group;NA;Steel Rebars;13926.99;USD;6;4.75;construction;contact@rosegroup.com;+1-555-000-0000;NA Office;true
9181;Ellis-Clark;NA;Concrete Mixers;1050.61;USD;16;2.95;construction;contact@ellisclark.com;+1-555-000-0000;NA Office;true
9182;Phelps, Henry and Wright;NA;Glass Panels;85.82;USD;20;5.05;construction;contact@phelpshenryandwright.com;+1-555-000-0000;NA Office;true
9183;Bryant-Clay;MEA;Glass Panels;7186.65;USD;11;4.25;construction;contact@bryantclay.com;+1-555-000-0000;MEA Office;true
9184;Quinn, Estrada and Wallace;LATAM;Glass Panels;7872.59;USD;13;3.05;construction;contact@quinnestradaandwallace.com;+1-555-000-0000;LATAM Office;true
9185;Harris-Price;MEA;Glass Panels;12372.01;USD;30;4.25;construction;contact@harrisprice.com;+1-555-000-0000;MEA Office;true
9186;Martin, Hahn and Mccall;APAC;Scaffolding;13968.03;USD;37;3.85;construction;contact@martinhahnandmccall.com;+1-555-000-0000;APAC Office;true
9187;Adams-Hopkins;NA;Glass Panels;4581.08;USD;34;2.85;construction;contact@adamshopkins.com;+1-555-000-0000;NA Office;true
9188;Hooper, Carpenter and Pruitt;NA;Glass Panels;2539.38;USD;11;2.85;construction;contact@hoopercarpenterandpruitt.com;+1-555-000-0000;NA Office;true
